"","Assumptions","Estimator","list_treatment","list","outcome","term","estimate","std.error","statistic","p.value","conf.low","conf.high","df","boot_se","boot_ci_lo","boot_ci_hi","boot_ci_which"
"1","Standard","Single list","Donation","count_a","count_hi","Z",-1.90320832139284,0.066512639304364,-28.6142354490505,7.7919240072922e-118,-2.03380947536871,-1.77260716741697,662,0.0668967933268869,-2.03432603631354,-1.77209060647214,-2.03432603631354
"2","Standard","Single list","Donation","count_a","count_lo","Z",1.09679167860716,0.066512639304364,16.4899737866092,1.94676326898883e-51,0.96619052463129,1.22739283258303,662,0.066896793326887,0.96567396368646,1.22790939352786,1.22790939352786
"3","Standard","Single list","Donation","count_b","count_hi","Z",-1.80889430320856,0.073213449822355,-24.7071311022449,5.23501992876858e-96,-1.95265285997848,-1.66513574643863,662,0.073154754735806,-1.95227762249074,-1.66551098392638,-1.95227762249074
"4","Standard","Single list","Donation","count_b","count_lo","Z",1.19110569679144,0.073213449822355,16.2689464802101,2.58392279520661e-50,1.04734714002152,1.33486425356137,662,0.0731547547358057,1.04772237750927,1.33448901607362,1.33448901607362
"5","Standard","Single list","Evict","count_a","count_hi","Z",-1.90297603395392,0.0681642533024903,-27.9175072234584,9.54037117243256e-114,-2.0368217113431,-1.76913035656475,658,0.069673435524593,-2.03953596758213,-1.76641610032572,-2.03953596758213
"6","Standard","Single list","Evict","count_a","count_lo","Z",1.09702396604607,0.0681642533024903,16.093830899575,2.1906171360575e-49,0.963178288656903,1.23086964343525,658,0.0696734355245931,0.960464032417872,1.23358389967428,1.23358389967428
"7","Standard","Single list","Evict","count_b","count_hi","Z",-1.93530955129741,0.0592814274547112,-32.6461361406304,9.80101486337904e-140,-2.05171312692321,-1.8189059756716,658,0.0589964656124505,-2.05094262389781,-1.819676478697,-2.05094262389781
"8","Standard","Single list","Evict","count_b","count_lo","Z",1.06469044870259,0.0592814274547112,17.9599327211879,5.42247077025638e-59,0.948286873076791,1.1810940243284,658,0.0589964656124503,0.949057376102192,1.180323521303,1.180323521303
"9","Standard","Single list","Offer Work","count_a","count_hi","Z",-1.95267026530378,0.0622300352278353,-31.3782606446341,1.0165019780317e-133,-2.0748592934656,-1.83048123714195,671,0.0632660401922067,-2.0766717040805,-1.82866882652705,-2.0766717040805
"10","Standard","Single list","Offer Work","count_a","count_lo","Z",1.04732973469622,0.0622300352278353,16.8299717469508,2.75238896021971e-53,0.925140706534396,1.16951876285805,671,0.0632660401922066,0.923328295919497,1.17133117347295,1.17133117347295
"11","Standard","Single list","Offer Work","count_b","count_hi","Z",-1.94643103250259,0.0661172520876638,-29.439079378584,6.11295467465382e-123,-2.07625263308089,-1.81660943192428,671,0.0636947731748862,-2.07127278792536,-1.82158927707981,-2.07127278792536
"12","Standard","Single list","Offer Work","count_b","count_lo","Z",1.05356896749742,0.0661172520876638,15.9348571549905,1.0114392665172e-48,0.92374736691911,1.18339056807573,671,0.0636947731748862,0.92872721207464,1.17841072292019,1.17841072292019
"13","Standard","Single list","Threaten","count_a","count_hi","Z",-2.00122671974461,0.0618933039346951,-32.3334931652081,1.49777637900912e-138,-2.12275655545315,-1.87969688403607,665,0.0630719602069807,-2.1248477617503,-1.87760567773893,-2.1248477617503
"14","Standard","Single list","Threaten","count_a","count_lo","Z",0.998773280255381,0.0618933039346951,16.1370167168521,1.11476849594161e-49,0.87724344454684,1.12030311596392,665,0.0630719602069807,0.875152238249699,1.12239432226106,1.12239432226106
"15","Standard","Single list","Threaten","count_b","count_hi","Z",-1.95151747870399,0.0605514400720365,-32.2290845004234,5.57451264403016e-138,-2.07041251412873,-1.83262244327924,665,0.0612621457815206,-2.07159128443577,-1.8314436729722,-2.07159128443577
"16","Standard","Single list","Threaten","count_b","count_lo","Z",1.04848252129602,0.0605514400720365,17.3155670624623,1.00276397946355e-55,0.929587485871269,1.16737755672076,665,0.0612621457815204,0.928408715564236,1.1685563270278,1.1685563270278
"17","Standard","DLE","Donation",NA,"count_hi","Z",-1.85476048283476,0.049406197660553,-37.5410489100568,3.99624657646755e-166,-1.95177222030359,-1.75774874536593,661.984622786901,0.0509306496941236,-1.95458455623524,-1.75493640943428,-1.95458455623524
"18","Standard","DLE","Donation",NA,"count_lo","Z",1.14523951716525,0.049406197660553,23.1800780346153,1.74722567333542e-87,1.04822777969642,1.24225125463408,661.984622786901,0.0509306496941238,1.04541544376476,1.24506359056573,1.24506359056573
"19","Standard","DLE","Evict",NA,"count_hi","Z",-1.91941497645614,0.0452662154605459,-42.4028153652276,2.92630352958781e-190,-2.00829880690168,-1.8305311460106,657.254601099875,0.0461700458848716,-2.00990826639049,-1.82892168652179,-2.00990826639049
"20","Standard","DLE","Evict",NA,"count_lo","Z",1.08058502354385,0.0452662154605459,23.8717774956401,3.5540465905832e-91,0.991701193098312,1.1694688539894,657.254601099875,0.0461700458848716,0.990091733609506,1.1710783134782,1.1710783134782
"21","Standard","DLE","Offer Work",NA,"count_hi","Z",-1.94951256241578,0.0454477838803552,-42.8956573008714,1.55305066830145e-194,-2.03874939565623,-1.86027572917533,671.620337986995,0.0453328614931235,-2.0383649709423,-1.86066015388926,-2.0383649709423
"22","Standard","DLE","Offer Work",NA,"count_lo","Z",1.05048743758421,0.0454477838803551,23.1141619655142,2.02902589543811e-87,0.96125060434376,1.13972427082466,671.620337986995,0.0453328614931235,0.96163502905769,1.13933984611073,1.13933984611073
"23","Standard","DLE","Threaten",NA,"count_hi","Z",-1.97505380200861,0.0434004931423058,-45.5076350292291,1.90905536583532e-206,-2.06027227416313,-1.8898353298541,665.138558265466,0.0449539726320183,-2.06316358836737,-1.88694401564986,-2.06316358836737
"24","Standard","DLE","Threaten",NA,"count_lo","Z",1.0249461979914,0.0434004931423058,23.6160035009441,5.10399172986521e-90,0.93972772583688,1.11016467014591,665.138558265466,0.0449539726320182,0.936836411632639,1.11305598435015,1.11305598435015
"25","List","Single list","Donation","count_a","count_hi","Z",0.846195302010551,0.0962148834463385,8.79484827815123,1.23270505491934e-17,0.657272189964972,1.03511841405613,662,0.0950587419337464,0.659880167820409,1.03251043620069,0.659880167820409
"26","List","Single list","Donation","count_a","count_lo","Z",-0.055778077526819,0.0886980936088808,-0.628853172118621,0.529662105781602,-0.22994156738279,0.118385412329152,662,0.0876810373130712,-0.227632910660439,0.116076755606801,0.116076755606801
"27","List","Single list","Donation","count_b","count_hi","Z",1.00189090750729,0.0968355703090222,10.3463108061433,2.34062875780429e-23,0.811749043336219,1.19203277167836,662,0.097480189868705,0.810829735364626,1.19295207964995,0.810829735364626
"28","List","Single list","Donation","count_b","count_lo","Z",0.0656031753870179,0.0922723947799441,0.710972935551003,0.477351422543162,-0.115578647562939,0.246784998336975,662,0.0926103427555044,-0.115913096413771,0.247119447187807,0.247119447187807
"29","List","Single list","Evict","count_a","count_hi","Z",0.979150944755531,0.0920328785477734,10.6391428824783,1.68097605454765e-24,0.798437412742821,1.15986447676824,658,0.0931102225776771,0.796654908503284,1.16164698100778,0.796654908503284
"30","List","Single list","Evict","count_a","count_lo","Z",0.046942174585707,0.0866450012836658,0.541775911942383,0.588156289201106,-0.123191852082699,0.217076201254113,658,0.087360838476399,-0.124285068828035,0.218169417999449,0.218169417999449
"31","List","Single list","Evict","count_b","count_hi","Z",0.866035133630992,0.0882490507070047,9.81353483910339,2.62118087940789e-21,0.692751434352226,1.03931883290976,658,0.0882354885726385,0.69309357602862,1.03897669123336,0.69309357602862
"32","List","Single list","Evict","count_b","count_lo","Z",-0.0688217842200341,0.082695732142849,-0.832228972846519,0.40558164699216,-0.231201121623393,0.0935575531833246,658,0.0827912868807922,-0.231092706506387,0.0934491380663186,0.0934491380663186
"33","List","Single list","Offer Work","count_a","count_hi","Z",0.936409561910597,0.0877881692926887,10.6666942647884,1.20729698370732e-24,0.764036992126458,1.10878213169474,671,0.0847216988302233,0.770355032203359,1.10246409161783,0.770355032203359
