"","list_treatment","list","term","estimate","std.error","statistic","p.value","conf.low","conf.high","df","outcome","estimator"
"1","Donation","count_a","Z",-0.188648192080836,0.119190745827283,-1.58274193832299,0.113959341316631,-0.422686947856454,0.0453905636947819,660,"count","List"
"2","Donation","count_a","recall",-0.0785207925791902,0.0546879551392192,-1.43579682910615,0.151533927462215,-0.185904137551648,0.0288625523932679,660,"count","List"
"3","Donation","count_a","Z:recall",0.0490783287046407,0.0786475119764809,0.624029005765845,0.532824160197691,-0.105351159256583,0.203507816665864,660,"count","List"
"4","Evict","count_a","Z",0.0324291182416214,0.11296746255888,0.287066005618378,0.774152430356264,-0.189392302276652,0.254250538759895,656,"count","List"
"5","Evict","count_a","recall",0.00438024275091167,0.054898126254529,0.0797885656534644,0.93642975226579,-0.103416994380302,0.112177479882126,656,"count","List"
"6","Evict","count_a","Z:recall",-0.05788338363984,0.0757235587143166,-0.764403900485152,0.444901452816345,-0.206573165460457,0.0908063981807767,656,"count","List"
"7","Offer Work","count_a","Z",-0.01707347750327,0.107060066748512,-0.159475685209279,0.873342247337792,-0.227287663144569,0.193140708138029,669,"count","List"
"8","Offer Work","count_a","recall",0.0322998712309148,0.0552037385195703,0.585102967609054,0.558675772172988,-0.0760935689161605,0.14069331137799,669,"count","List"
"9","Offer Work","count_a","Z:recall",-0.0586829937684232,0.073430623355932,-0.799162407814186,0.424479880348504,-0.20286521930505,0.0854992317682034,669,"count","List"
"10","Threaten","count_a","Z",-0.0666973206027482,0.104410161668234,-0.638801047111495,0.523172978625593,-0.271711737004013,0.138317095798516,663,"count","List"
"11","Threaten","count_a","recall",-0.0954658830049779,0.0515077971848112,-1.85342585438946,0.0642653895654545,-0.196603940941455,0.0056721749314992,663,"count","List"
"12","Threaten","count_a","Z:recall",0.0963538962920476,0.0748804543072274,1.28676965415723,0.198623682023494,-0.0506775074944711,0.243385300078566,663,"count","List"
"13","Donation","count_b","Z",0.0696415695145073,0.116238217388963,0.599127989733952,0.549293128229995,-0.158599705279677,0.297882844308692,660,"count","List"
"14","Donation","count_b","recall",0.00538147542628691,0.0543903194951584,0.0989417873665174,0.921214532777065,-0.101417442665318,0.112180393517891,660,"count","List"
"15","Donation","count_b","Z:recall",-0.0870114347270884,0.0800939520127756,-1.08636710438772,0.277713215409659,-0.244281101462669,0.0702582320084924,660,"count","List"
"16","Evict","count_b","Z",-0.18694150014487,0.107709656553958,-1.73560575834925,0.083103144679815,-0.398438762092144,0.0245557618024047,656,"count","List"
"17","Evict","count_b","recall",-0.0738910102041115,0.0456511077896371,-1.61860278494457,0.106013410416789,-0.163530923757557,0.015748903349334,656,"count","List"
"18","Evict","count_b","Z:recall",0.0558686669902416,0.0682966849360505,0.818028972307429,0.413637670582052,-0.0782378033689335,0.189975137349417,656,"count","List"
"19","Offer Work","count_b","Z",-0.106035599689177,0.112273287382782,-0.9444419252432,0.345284821940312,-0.326486028997088,0.114414829618734,669,"count","List"
"20","Offer Work","count_b","recall",-0.0521354658202653,0.0545040222051937,-0.956543456994579,0.33914326542204,-0.159155001581944,0.0548840699414137,669,"count","List"
"21","Offer Work","count_b","Z:recall",-0.00652269094459107,0.0763387431490223,-0.0854440442103952,0.931933942893341,-0.156415057083762,0.14336967519458,669,"count","List"
"22","Threaten","count_b","Z",-0.00493161810560592,0.111098037376671,-0.0443897860129207,0.964607068991098,-0.223078002827026,0.213214766615814,663,"count","List"
"23","Threaten","count_b","recall",-0.0720644566776079,0.0547085876255793,-1.31724213337055,0.188212527131557,-0.179487421885103,0.035358508529887,663,"count","List"
"24","Threaten","count_b","Z:recall",-0.0678771538970311,0.0750914539853004,-0.903926482903348,0.366362703622489,-0.215322865785078,0.0795685579910155,663,"count","List"
"25","Donation",NA,"Z",-0.060059666302486,0.0623011358715964,-0.964022011192056,0.335479804140243,-0.182450496903157,0.0623311642981846,523.714107941092,"count","DLE"
"26","Donation",NA,"recall",-0.0364816322795994,0.0383367671159117,-0.951609512854768,0.343564651752179,-0.112530593305427,0.039567328746228,101.095669420486,"count","DLE"
"27","Donation",NA,"listcount_b",0.0139990978500194,0.049956064752575,0.280228194901958,0.779390788516157,-0.0840939880008925,0.112092183700931,655.94375683009,"count","DLE"
"28","Donation",NA,"Z:recall",-0.0197787884305391,0.0370605261794974,-0.533688818521986,0.594732500094825,-0.0932992288645047,0.0537416520034265,100.737142661462,"count","DLE"
"29","Evict",NA,"Z",-0.081117992499785,0.0600399610957957,-1.35106670656163,0.177265713194321,-0.199070609499056,0.036834624499486,516.393247475427,"count","DLE"
"30","Evict",NA,"recall",-0.0369031047600024,0.0351210007123773,-1.05074183569596,0.295598901357351,-0.10647734505229,0.0326711355322849,114.02927822689,"count","DLE"
"31","Evict",NA,"listcount_b",0.0248243521089462,0.04913215972997,0.505256684122592,0.613548723521601,-0.0716513895677681,0.12130009378566,654.237424360502,"count","DLE"
"32","Evict",NA,"Z:recall",0.00373635893963577,0.0389715650807056,0.09587397713944,0.923788880815784,-0.0734654464284193,0.0809381643076909,114.07781936411,"count","DLE"
"33","Offer Work",NA,"Z",-0.0615479061820431,0.0607589317931625,-1.01298532356636,0.311538812029702,-0.180911363956477,0.0578155515923911,519.40589909532,"count","DLE"
"34","Offer Work",NA,"recall",-0.0115878792095433,0.0389938594680768,-0.29717189751453,0.766946892325727,-0.08894319425023,0.0657674358311434,100.786439733055,"count","DLE"
"35","Offer Work",NA,"listcount_b",0.0276373783384188,0.0491686173839525,0.562093868180214,0.574240517427409,-0.0689061691774936,0.124180925854331,668.365670491121,"count","DLE"
"36","Offer Work",NA,"Z:recall",-0.0303456465672172,0.0413354370673025,-0.734131503625045,0.464570671572567,-0.112344730682293,0.051653437547859,100.929325783987,"count","DLE"
"37","Threaten",NA,"Z",-0.0360289084590413,0.064189822980098,-0.561286926592896,0.574847518339036,-0.162136743899825,0.0900789269817421,512.01978692161,"count","DLE"
"38","Threaten",NA,"recall",-0.0841835314935331,0.0374650016682379,-2.24699126504784,0.0270271213701062,-0.158590306226289,-0.0097767567607772,92.1815425115662,"count","DLE"
