"","discrete","estimator","p","list_treatment","list","term","estimate_comb_hi","estimate_comb_lo","outcome","boot_se_hi","boot_se_lo","boot_ci_comb_hi_lo","boot_ci_comb_hi_hi","boot_ci_comb_lo_lo","boot_ci_comb_lo_hi"
"1","1","List",0.05,"Donation","count_a","Z",0.00201579934394472,0.0404596359915548,"count_lo",0.083180350939503,0.0756543302704923,-0.161017688497481,0.165049287185371,-0.10782285133861,0.18874212332172
"2","1","List",0.05,"Evict","count_a","Z",0.0537853405524376,0.0644971455821192,"count_lo",0.0813613614738574,0.0763988944375803,-0.105682927936323,0.213253609041198,-0.0852446875155381,0.214238978679777
"3","1","List",0.05,"Offer Work","count_a","Z",0.118931602129273,0.11439982760093,"count_lo",0.082770441440701,0.0795852083101418,-0.0432984630945007,0.281161667353047,-0.0415871806869477,0.270386835888808
"4","1","List",0.05,"Threaten","count_a","Z",0.180245682612334,0.179586891270533,"count_lo",0.0772746826914385,0.0739660825241415,0.0287873045371144,0.331704060687553,0.0346133695232153,0.32456041301785
"5","1","List",0.05,"Donation","count_b","Z",0.302713934460033,0.299339441614895,"count_lo",0.0874879145949584,0.0843064983640129,0.131237621853914,0.474190247066151,0.134098704821429,0.46458017840836
"6","1","List",0.05,"Evict","count_b","Z",-0.0289006466964215,-0.0167202481052132,"count_lo",0.0864510234652926,0.0805466332085508,-0.198344652688395,0.140543359295552,-0.174591649193973,0.141151152983546
"7","1","List",0.05,"Offer Work","count_b","Z",0.0748043905822614,0.0880857448380993,"count_lo",0.0852910960228858,0.0806994364934601,-0.0923661576225947,0.241974938787118,-0.0700851506890825,0.246256640365281
"8","1","List",0.05,"Threaten","count_b","Z",0.0843236125337317,0.0973533261149592,"count_lo",0.0780444765829944,0.0723944745390749,-0.0686435615689373,0.237290786636401,-0.0445398439816276,0.239246496211546
"9","1","DLE",0.05,"Donation","DLE","Z",0.152604399199311,0.170422757115516,"count_lo",0.0426005740191799,0.0403602769102114,0.0691072741217185,0.236101524276904,0.091316614371502,0.249528899859531
"10","1","DLE",0.05,"Evict","DLE","Z",0.0130260724692892,0.0243859189860071,"count_lo",0.0466037422203353,0.0443124805460485,-0.078317262282568,0.104369407221146,-0.0624665428842481,0.111238380856262
"11","1","DLE",0.05,"Offer Work","DLE","Z",0.0975024176830455,0.101731717445112,"count_lo",0.0442774186313726,0.0427747595533128,0.0107186771655553,0.184286158200536,0.0178931887206188,0.185570246169605
"12","1","DLE",0.05,"Threaten","DLE","Z",0.13089388009251,0.137353495819249,"count_lo",0.0450856716212027,0.0428452846696603,0.042525963714953,0.219261796470068,0.0533767378667151,0.221330253771784
"13","2","List",0.1,"Donation","count_a","Z",0.0415265625533381,0.0404596359915548,"count_lo",0.0846268322928549,0.0773780021773753,-0.124342028740658,0.207395153847334,-0.111201248276101,0.19212052025921
"14","2","List",0.1,"Evict","count_a","Z",0.100673794564179,0.0644971455821192,"count_lo",0.0888458321846316,0.0842688944606112,-0.0734640365176988,0.274811625646057,-0.100669887560679,0.229664178724917
"15","2","List",0.1,"Offer Work","count_a","Z",0.162649801737884,0.11439982760093,"count_lo",0.0817139253073873,0.0781259831607636,0.00249050813540477,0.322809095340363,-0.0387270993941665,0.267526754596027
"16","2","List",0.1,"Threaten","count_a","Z",0.222457032905876,0.179586891270533,"count_lo",0.078757859264576,0.0744590010422177,0.068091628747307,0.376822437064445,0.033647249227786,0.325526533313279
"17","2","List",0.1,"Donation","count_b","Z",0.342224697669426,0.299339441614895,"count_lo",0.080827087334359,0.0775797460646238,0.183803606494083,0.50064578884477,0.147283139328232,0.451395743901557
"18","2","List",0.1,"Evict","count_b","Z",0.0179878073153201,-0.0167202481052132,"count_lo",0.0847340510198738,0.0792573546993935,-0.148090932683633,0.184066547314273,-0.172064663316024,0.138624167105598
"19","2","List",0.1,"Offer Work","count_b","Z",0.118522590190872,0.0880857448380993,"count_lo",0.0888069952500885,0.0839608703195136,-0.0555391204993014,0.292584300881045,-0.0764775609881475,0.252649050664346
"20","2","List",0.1,"Threaten","count_b","Z",0.126534962827274,0.0973533261149592,"count_lo",0.0825232043255287,0.076555296901879,-0.0352105176507624,0.28828044330531,-0.0526950558127236,0.247401708042642
"21","2","DLE",0.1,"Donation","DLE","Z",0.192115162408704,0.170422757115516,"count_lo",0.0427192111876903,0.0397022402766699,0.108385508480831,0.275844816336577,0.0926063661732432,0.248239148057789
"22","2","DLE",0.1,"Evict","DLE","Z",0.0599145264810309,0.0243859189860071,"count_lo",0.048422943431848,0.0456963111776615,-0.0349944426453911,0.154823495607453,-0.0651788509222094,0.113950688894224
"23","2","DLE",0.1,"Offer Work","DLE","Z",0.141220617291656,0.101731717445112,"count_lo",0.0457355039491936,0.043710721561839,0.0515790295512367,0.230862205032076,0.0160587031839074,0.187404731706316
"24","2","DLE",0.1,"Threaten","DLE","Z",0.173105230386052,0.137353495819249,"count_lo",0.04726568252391,0.044496232218963,0.0804644926391888,0.265745968132916,0.050140880670082,0.224566110968417
"25","3","List",0.2,"Donation","count_a","Z",0.120548088972125,0.0404596359915548,"count_lo",0.0825893846251918,0.0751677789915808,-0.0413271048932512,0.282423282837501,-0.106869210831944,0.187788482815053
"26","3","List",0.2,"Evict","count_a","Z",0.194450702587663,0.0644971455821192,"count_lo",0.0883124177078011,0.0827763158506323,0.0213583638803725,0.367543041294953,-0.09774443348512,0.226738724649358
"27","3","List",0.2,"Offer Work","count_a","Z",0.250086200955105,0.11439982760093,"count_lo",0.0833913927760411,0.079703187937951,0.0866390711140645,0.413533330796146,-0.0418184207574537,0.270618075959314
"28","3","List",0.2,"Threaten","count_a","Z",0.30687973349296,0.179586891270533,"count_lo",0.0802128015508541,0.0765339267648006,0.149662642453286,0.464096824532634,0.0295803948115233,0.329593387729542
"29","3","List",0.2,"Donation","count_b","Z",0.421246224088213,0.299339441614895,"count_lo",0.0800121793181391,0.0770956017879997,0.26442235262466,0.578070095551766,0.148232062110415,0.450446821119374
"30","3","List",0.2,"Evict","count_b","Z",0.111764715338803,-0.0167202481052132,"count_lo",0.0874504609547958,0.0823266493148294,-0.0596381881325965,0.283167618810203,-0.178080480762279,0.144639984551853
"31","3","List",0.2,"Offer Work","count_b","Z",0.205958989408093,0.0880857448380993,"count_lo",0.0871290205095244,0.0816669406528752,0.0351861092094252,0.376731869606761,-0.0719814588415362,0.248152948517735
"32","3","List",0.2,"Threaten","count_b","Z",0.210957663414358,0.0973533261149592,"count_lo",0.084255022853183,0.0786963269460568,0.0458178186221194,0.376097508206597,-0.0568914746993121,0.25159812692923
"33","3","DLE",0.2,"Donation","DLE","Z",0.271136688827491,0.170422757115516,"count_lo",0.0426969394008737,0.0402569993617375,0.187450687601779,0.354822690053204,0.0915190383665108,0.249326475864522
